sector,ticker,momentum_21,momentum_63,momentum_126,volatility_20,downside_volatility_20,drawdown_current,distance_to_ma_200,risk_adjusted_return_63,volume_momentum_20,trailingPE,forwardPE,priceToBook,dividendYield,beta,marketCap,trend_mean,trend_latest,trend_momentum_4w,trend_momentum_12w,trend_z_score_12w,trend_z_score_52w,trend_spike,trend_acceleration,trend_volatility,trend_percentile_52w,trend_observations,trend_last_date,relative_strength_vs_spy_63,relative_strength_vs_spy_126,sentiment_score,sentiment_score_component,sentiment_bullish_percent,sentiment_bearish_percent,sentiment_buzz,sentiment_article_count,sentiment_coverage_count,sentiment_data_status,sentiment_provider,sentiment_last_updated,trend_data_status,trend_refresh_mode,trend_cache_age_hours,trend_provider,trend_source_detail,trend_keywords,market_last_date,price_data_status,scoring_mode,operating_mode,scoring_profile,momentum_score,risk_score,fundamental_score,trend_score,total_score,trend_signal,synergy_label,synergy_score,confidence_score,data_quality_status,actionability_status,recommendation,short_explanation,ml_predicted_outperform_probability,ml_predicted_excess_return_4w,ml_model_status,ml_model_confidence,ml_classifier_model,ml_regression_model,ml_feature_set,ml_feature_mismatch_detail
Utilities,XLU,0.04187935891133665,-0.021464384908528755,0.04771344236638675,0.14500889922420543,0.0,-0.059187110622944905,0.004876664890148152,-0.14802115610395475,0.5481644592198729,20.664726,,0.7017502,2.68,,,,,,,,,False,,,,0,,-0.17308503933068686,-0.04110684389769004,,0.0,,,,0,0,not_used,disabled_by_mode,,not_used,auto,,disabled_by_mode,Google Trends disabled in market/fundamental mode,"electricity prices, utility stocks, renewable energy",2026-07-01,db,research,market_fundamental,market_fundamental_only,35.4147213761659,70.320697650381,86.23645987527168,0.0,61.13303580816216,Trend data not used in market/fundamental mode,Fundamental sleeper,70.0,87.0,Market/fundamental research signal,Research only,Watch,Market/fundamental-only mode: Google Trends not used.,0.5957336495204141,-0.005740638475390828,trained,19.146729904082814,RandomForestClassifier,Ridge,market_fundamental,
Financials,XLF,0.06912308543809242,0.11373307271514732,-0.006055659550265657,0.16461652002027774,0.0,-0.025088668036260198,0.04607755266917768,0.6908970782588375,0.45049228253618145,17.346087,,1.6162508,1.54,,,,,,,,,False,,,,0,,-0.03788758170701079,-0.09487594581434244,,0.0,,,,0,0,not_used,disabled_by_mode,,not_used,auto,,disabled_by_mode,Google Trends disabled in market/fundamental mode,"bank stocks, interest rates, financial sector",2026-07-01,db,research,market_fundamental,market_fundamental_only,54.58122204286163,75.58213061407947,53.29584620226989,0.0,60.495881862049465,Trend data not used in market/fundamental mode,Balanced setup,60.0,87.0,Market/fundamental research signal,Research only,Watch,Market/fundamental-only mode: Google Trends not used.,0.5181042221667223,-0.004702919552393286,trained,3.62084443334445,RandomForestClassifier,Ridge,market_fundamental,
Healthcare,XLV,0.07920729845733887,0.08826138999751576,0.024003629752690214,0.1980866671361165,0.0,-0.007403274858397757,0.06302639052296577,0.44556956444154006,0.4068075954970468,25.733807,,1.253772,1.68,,,,,,,,,False,,,,0,,-0.06335926442464235,-0.06481665651138657,,0.0,,,,0,0,not_used,disabled_by_mode,,not_used,auto,,disabled_by_mode,Google Trends disabled in market/fundamental mode,"healthcare stocks, biotech, pharma",2026-07-01,db,research,market_fundamental,market_fundamental_only,54.756918153850634,75.6546999564883,51.132316971263656,0.0,59.93887233986584,Trend data not used in market/fundamental mode,Balanced setup,60.0,87.0,Market/fundamental research signal,Research only,Neutral,Market/fundamental-only mode: Google Trends not used.,0.5161845256876092,-0.004736103738575097,trained,3.2369051375218394,RandomForestClassifier,Ridge,market_fundamental,
Materials,XLB,0.00873926797964586,0.027916758528829355,0.12297769553095805,0.2279085086086362,0.0,-0.042055152897010784,0.06356163488606859,0.12249107635015034,0.40133993310166877,25.948408,,0.649253,1.71,,,,,,,,,False,,,,0,,-0.12370389589332875,0.03415740926688127,,0.0,,,,0,0,not_used,disabled_by_mode,,not_used,auto,,disabled_by_mode,Google Trends disabled in market/fundamental mode,"commodity prices, mining stocks, raw materials",2026-07-01,db,research,market_fundamental,market_fundamental_only,44.89269176019368,64.63652593722283,67.4440740361763,0.0,57.58125669609721,Trend data not used in market/fundamental mode,Fundamental sleeper,70.0,87.0,Market/fundamental research signal,Research only,Neutral,Market/fundamental-only mode: Google Trends not used.,0.5979704405072054,-0.002937967179188155,trained,19.594088101441077,RandomForestClassifier,Ridge,market_fundamental,
Industrials,XLI,0.0759570863358956,0.14694243503032367,0.18247594116781918,0.23792265732569026,0.0,0.0,0.1284518240121708,0.6176058921079359,0.41568523465963403,32.213478,,1.8854566,1.18,,,,,,,,,False,,,,0,,-0.004678219391834437,0.09365565490374239,,0.0,,,,0,0,not_used,disabled_by_mode,,not_used,auto,,disabled_by_mode,Google Trends disabled in market/fundamental mode,"manufacturing, industrial stocks, infrastructure",2026-07-01,db,research,market_fundamental,market_fundamental_only,72.48301987923925,72.74096508451042,17.585453917569712,0.0,56.09113365231974,Trend data not used in market/fundamental mode,Balanced setup,60.0,87.0,Market/fundamental research signal,Research only,Neutral,Market/fundamental-only mode: Google Trends not used.,0.3398017723017723,-0.005395148918065247,trained,32.03964553964555,RandomForestClassifier,Ridge,market_fundamental,
Consumer Staples,XLP,0.013409709746316834,0.01402773663569401,0.06195705863250223,0.17485549604854106,0.0,-0.07643600399430706,0.017557202060227484,0.08022473958610839,0.38471193264622083,25.016304,,1.2193261,2.62,,,,,,,,,False,,,,0,,-0.1375929177864641,-0.02686322763157456,,0.0,,,,0,0,not_used,disabled_by_mode,,not_used,auto,,disabled_by_mode,Google Trends disabled in market/fundamental mode,"food prices, consumer staples, grocery prices",2026-07-01,db,research,market_fundamental,market_fundamental_only,37.65136936431985,63.12585038579224,64.49686387418065,0.0,53.3473620237198,Trend data not used in market/fundamental mode,Weak setup,35.0,87.0,Market/fundamental research signal,Research only,Neutral,Market/fundamental-only mode: Google Trends not used.,0.4977323486698486,-0.003919827568375752,trained,0.4535302660302776,RandomForestClassifier,Ridge,market_fundamental,
Real Estate,XLRE,0.025537312931506184,0.08682336541677649,0.09217324227007428,0.19498096299254913,0.0,-0.14350513754519778,0.04854559111454382,0.44529149966345327,0.6254619862749071,32.68801,,,3.18,,,,,,,,,False,,,,0,,-0.06479728900538162,0.0033529560059974983,,0.0,,,,0,0,not_used,disabled_by_mode,,not_used,auto,,disabled_by_mode,Google Trends disabled in market/fundamental mode,"real estate market, REIT, mortgage rates",2026-07-01,db,research,market_fundamental,market_fundamental_only,50.55516793557631,46.08595891591051,61.19391009875848,0.0,52.40602787863122,Trend data not used in market/fundamental mode,Balanced setup,60.0,85.0,Market/fundamental research signal,Research only,Neutral,Market/fundamental-only mode: Google Trends not used.,0.5001075687298597,-0.001593731222107512,trained,0.021513745971946108,RandomForestClassifier,Ridge,market_fundamental,
Technology,XLK,-0.04423778425789604,0.4078255432370266,0.28264901875951387,0.43740104395479146,0.0,-0.056051663558993714,0.23558134686686705,0.9323835616614996,0.29307339065620447,37.285065,,1.2527201,0.4,,,,,,,,,False,,,,0,,0.25620488881486847,0.19382873249543708,,0.0,,,,0,0,not_used,disabled_by_mode,,not_used,auto,,disabled_by_mode,Google Trends disabled in market/fundamental mode,"artificial intelligence, semiconductors, cloud computing",2026-07-01,db,research,market_fundamental,market_fundamental_only,83.85726865659922,37.676710864242736,17.061280736172158,0.0,49.96430494276416,Trend data not used in market/fundamental mode,Balanced setup,60.0,87.0,Market/fundamental research signal,Research only,Neutral,Market/fundamental-only mode: Google Trends not used.,0.691894216894217,-0.00707915618502531,trained,38.378843378843406,RandomForestClassifier,Ridge,market_fundamental,
Consumer Discretionary,XLY,0.004315039312134505,0.08919061563499375,-0.017790662416427794,0.2393290449077965,0.0,-0.0467394784109022,0.009640252938814875,0.37266941699180384,0.4833539991376111,29.579721,,0.70658964,0.74,,,,,,,,,False,,,,0,,-0.062430038787164355,-0.10661094868050458,,0.0,,,,0,0,not_used,disabled_by_mode,,not_used,auto,,disabled_by_mode,Google Trends disabled in market/fundamental mode,"retail sales, consumer spending, ecommerce",2026-07-01,db,research,market_fundamental,market_fundamental_only,37.8404589340764,62.30468361925305,48.37246350292748,0.0,48.33932771028472,Trend data not used in market/fundamental mode,Weak setup,35.0,87.0,Market/fundamental research signal,Research only,Neutral,Market/fundamental-only mode: Google Trends not used.,0.450012999663735,-0.00693727877047032,trained,9.997400067253004,RandomForestClassifier,Ridge,market_fundamental,
Energy,XLE,-0.07373470384600711,-0.13361080285431026,0.18948906395004128,0.21223117873395742,0.0,-0.15161445655595895,0.03477438326961502,-0.6295531299941476,0.33838062425317367,19.83351,,1.0184208,2.65,,,,,,,,,False,,,,0,,-0.28523145727646837,0.1006687776859645,,0.0,,,,0,0,not_used,disabled_by_mode,,not_used,auto,,disabled_by_mode,Google Trends disabled in market/fundamental mode,"oil price, energy stocks, natural gas",2026-07-01,db,research,market_fundamental,market_fundamental_only,20.26428163617582,42.336515564090426,78.68730505349366,0.0,44.41285883974555,Trend data not used in market/fundamental mode,Fundamental sleeper,70.0,87.0,Market/fundamental research signal,Research only,Avoid,Market/fundamental-only mode: Google Trends not used.,0.4232638773263776,0.0042304402040802625,trained,15.347224534724479,RandomForestClassifier,Ridge,market_fundamental,
Communication Services,XLC,-0.0475305139483756,-0.006720212362261724,-0.06595132382841973,0.2049666037051615,0.0,-0.08298637421163035,-0.04349321658370975,-0.0327868649857152,0.6762747246266924,16.751333,,,1.21,,,,,,,,,False,,,,0,,-0.15834086678441983,-0.15477161009249651,,0.0,,,,0,0,not_used,disabled_by_mode,,not_used,auto,,disabled_by_mode,Google Trends disabled in market/fundamental mode,"communication services stocks, streaming media, digital advertising",2026-07-01,db,research,market_fundamental,market_fundamental_only,15.755230346889068,58.25298179185018,64.568345323741,0.0,43.148490273432984,Trend data not used in market/fundamental mode,Weak setup,35.0,85.0,Market/fundamental research signal,Research only,Avoid,Market/fundamental-only mode: Google Trends not used.,0.5413342791467792,-0.005405003808150684,trained,8.266855829355846,RandomForestClassifier,Ridge,market_fundamental,
